id_image;titre;createur;date;source_url;image_url
01.jpg;Machine à élever de l'eau;Gallon, Jean-Gaffin;1735;https://images.bnf.fr/#/detail/1948092/1;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?ex=11291494&docid=1948092&SID=6432c806&psite=IMAGE
02.jpg;Application de la machine à élever de l'eau;Dheulland, Guillaume;1735;https://images.bnf.fr/#/detail/1948092/2;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1948093&ex=11291495&psite=IMAGE&SID=6432c806
03.jpg;Fosse commune à Montmartre;Goncourt, Edmond;1876;https://images.bnf.fr/#/detail/1948092/3;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1908783&ex=11213910&psite=IMAGE&SID=6432c806
04.jpg;Expériences faites en mer avec la machine hydrostatergatique;;1750;https://images.bnf.fr/#/detail/1948092/4;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1962639&ex=11305796&psite=IMAGE&SID=6432c806
05.jpg;En haut : atelier de tourbage. En bas : bêches à tourber, brouette, piles de tourbe, vis d'Archimède, bascule... (L'art du tourbier);Bertrand, Elie;1783;https://images.bnf.fr/#/detail/1948092/5;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1947009&ex=11291265&psite=IMAGE&SID=6432c806
06.jpg;Machine à électricité dans le goût de celles de M. Hauksbee à Londres et de M. Hausen à Leipsic;Flipart, Jean;1748;https://images.bnf.fr/#/detail/1948092/6;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1952952&ex=11291219&psite=IMAGE&SID=6432c806
07.jpg;Impression du journal L'Echo de Paris, édition du 10 octobre 1931;;1931;https://images.bnf.fr/#/detail/1948092/7;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1957669&ex=11299853&psite=IMAGE&SID=6432c806
08.jpg;Lettre J Alphabet. - Paris : Hachette;Greenaway, Kate ;1885;https://images.bnf.fr/#/detail/1948092/8;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=426415&ex=10359356&psite=IMAGE&SID=6432c806
09.jpg;Atelier de joaillerie et de bijouterie (Paris);Fichot, Charles;;https://images.bnf.fr/#/detail/1948092/9;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1945927&ex=11273979&psite=IMAGE&SID=6432c806
10.jpg;https://images.bnf.fr/#/detail/1948092/10;;1938;https://images.bnf.fr/#/detail/1948092/10;https://images.bnf.fr/scripts/atlasgate.dll/bnf6db/wa_zoom?docid=1946377&ex=11274480&psite=IMAGE&SID=6432c806

